Class,AreaABD,AspectRatio,AverageBlue,AverageGreen,AverageRed,BiovolumeCylinder,BiovolumeP.Spheroid,BiovolumeSphere,Circularity,CircularityHu,Compactness,ConvexPerimeter,Convexity,DiameterABD,DiameterESD,GeodesicAspectRatio,GeodesicLength,GeodesicThickness,Length,OriginalReferenceID,RatioBlue/Green,RatioRed/Blue,RatioRed/Green,SigmaIntensity,Symmetry,Timestamp,VolumeABD,Width
4XEuplotes,2770.561,0.5643,79.8329,82.6593,83.614,55354.4634,92699.2578,109702.2072,0.2695,0.78,3.7109,243.9714,0.8312,59.3935,73.7606,0.1047,185.9787,19.467,90.09,06555A00-1785-408D-8444-B59D1E1F6767,0.9658,1.0474,1.0115,38.1268,0.3996,2019-11-11T09:12:06.648,1.10E+05,55.51
4XEuplotes,3512.3674,0.41,62.3271,66.7298,70.3653,76491.8098,107535.2877,156589.8827,0.2753,0.6405,3.6318,303.2091,0.7542,66.8736,92.7694,0.1075,203.4975,21.8768,122.85,965DC934-FF8A-46BE-9135-C81B0FD277EE,0.934,1.129,1.0545,32.0444,0.4431,2019-11-11T09:12:02.005,1.57E+05,57.33
4XEuplotes,3535.9796,0.5622,67.0089,72.1131,73.5439,106611.4397,122372.5219,158171.5714,0.4483,0.8139,2.2306,259.7691,0.8913,67.0981,78.7656,0.2084,146.2232,30.4683,97.37,BFF5A66F-C190-46C2-9C7D-67E9CC179A49,0.9292,1.0975,1.0198,37.3882,0.4687,2019-11-11T09:12:08.905,1.58E+05,55.51
4XEuplotes,3636.4265,0.3595,76.0646,81.3614,84.3128,83036.0296,98880.0562,164959.0027,0.2957,0.5944,3.3822,315.2184,0.7522,68.0444,96.46,0.1175,197.064,23.1625,128.31,0B5B7B4C-DE42-4C7E-A9BE-CAF48A88FC44,0.9349,1.1084,1.0363,35.3252,0.4389,2019-11-11T09:11:43.310,1.65E+05,50.05
4XEuplotes,3754.79,0.3619,62.6749,67.074,70.8575,71084.2621,111467.3938,173078.1671,0.2125,0.576,4.7054,347.9964,0.6221,69.1429,106.9756,0.0787,244.4436,19.2421,139.23,223845FA-BA5E-469D-B0A8-CABEF1B3B0A6,0.9344,1.1306,1.0564,32.5992,0.3026,2019-11-11T09:11:40.927,1.73E+05,60.97
4XEuplotes,3817.0107,0.4411,76.6435,81.3065,84.2578,79310.3954,141689.6087,177398.0586,0.2264,0.654,4.4164,347.3705,0.6217,69.7135,106.7228,0.0848,241.2225,20.4603,131.95,289980D1-5DC0-4679-B433-827994D43E27,0.9426,1.0993,1.0363,33.4528,0.4549,2019-11-11T09:11:35.280,1.77E+05,66.43
4XEuplotes,3846.6584,0.3816,64.9772,70.0283,73.0193,81807.1678,117082.3412,179468.9111,0.2505,0.612,3.9924,316.9033,0.8052,69.9837,97.1172,0.0957,224.8457,21.5233,128.31,33C6A067-F812-404A-B89C-31589BEE820C,0.9279,1.1238,1.0427,33.8211,0.3247,2019-11-11T09:12:06.396,1.79E+05,53.69
4XEuplotes,3974.2784,0.3351,68.8787,72.9511,76.2594,73552.7701,118067.9199,188473.9066,0.1957,0.538,5.1112,361.6981,0.6859,71.1351,111.3234,0.0715,263.6082,18.8484,146.51,21CA8650-C750-4767-95D8-B47AEF99E0F8,0.9442,1.1072,1.0453,33.1194,0.353,2019-11-11T09:11:42.306,1.88E+05,51.87
4XEuplotes,4069.3895,0.437,82.5912,89.481,92.2211,126349.5615,134296.4756,195279.9683,0.4267,0.6925,2.3435,309.0449,0.8224,71.9813,94.4884,0.1935,162.5909,31.4553,119.21,86CAC557-D6FF-4018-8E99-71E1D115FFBC,0.923,1.1166,1.0306,31.2857,0.5118,2019-11-11T09:11:56.233,1.95E+05,53.69
4XEuplotes,4251.0071,0.5057,86.3893,91.8101,94.5849,177625.0656,165904.3413,208497.8349,0.5438,0.7799,1.839,299.7312,0.9447,73.57,91.4044,0.2865,140.2068,40.1627,115.57,112BFE2A-4887-41DC-B611-50AF365D2CE3,0.941,1.0949,1.0302,33.7322,0.7413,2019-11-11T09:11:59.246,2.08E+05,57.33
4XEuplotes,4289.7636,0.3674,76.5989,81.2372,83.2804,86640.1957,141891.6457,211355.6423,0.2202,0.5734,4.542,349.5871,0.6945,73.9046,107.2788,0.0821,253.9859,20.8406,146.51,AE071F4A-9691-415C-BEDF-4E83419159B7,0.9429,1.0872,1.0252,37.1218,0.3376,2019-11-11T09:11:31.140,2.11E+05,62.79
4XEuplotes,4376.2831,0.6954,83.8347,92.4917,97.37,152833.9311,217967.2056,217781.9689,0.4087,0.9105,2.4466,302.084,0.9004,74.6462,92.3144,0.1817,180.6599,32.8197,115.57,FBFD503F-0DD9-4805-9954-ED53C87B991E,0.9064,1.1615,1.0527,28.1178,0.6719,2019-11-11T09:11:51.718,2.18E+05,64.61
