,tre,rep,day,Date,nut,temp,Class,OD,treatNum
1,Full22C,1,0,2019/11/11,Full,22,Bacteria,5.00E-04,1
2,Full22C,2,0,2019/11/11,Full,22,Bacteria,-5.00E-04,1
3,Full22C,3,0,2019/11/11,Full,22,Bacteria,-0.0025,1
4,Full22C,4,0,2019/11/11,Full,22,Bacteria,-0.0035,1
5,Full22C,5,0,2019/11/11,Full,22,Bacteria,-0.0035,1
6,Full22C,6,0,2019/11/11,Full,22,Bacteria,NA,1
7,Full25C,1,0,2019/11/11,Full,25,Bacteria,0.0015,2
8,Full25C,2,0,2019/11/11,Full,25,Bacteria,-5.00E-04,2
9,Full25C,3,0,2019/11/11,Full,25,Bacteria,0.0015,2
10,Full25C,4,0,2019/11/11,Full,25,Bacteria,0.0015,2
11,Full25C,5,0,2019/11/11,Full,25,Bacteria,0.0015,2
12,Full25C,6,0,2019/11/11,Full,25,Bacteria,NA,2
13,Half22C,1,0,2019/11/11,Half,22,Bacteria,0.0045,3
14,Half22C,2,0,2019/11/11,Half,22,Bacteria,5.00E-04,3
15,Half22C,3,0,2019/11/11,Half,22,Bacteria,5.00E-04,3
16,Half22C,4,0,2019/11/11,Half,22,Bacteria,-0.0025,3
17,Half22C,5,0,2019/11/11,Half,22,Bacteria,0.0025,3
18,Half22C,6,0,2019/11/11,Half,22,Bacteria,NA,3
19,Half25C,1,0,2019/11/11,Half,25,Bacteria,0.0015,4
20,Half25C,2,0,2019/11/11,Half,25,Bacteria,0.0035,4
21,Half25C,3,0,2019/11/11,Half,25,Bacteria,-5.00E-04,4
22,Half25C,4,0,2019/11/11,Half,25,Bacteria,-5.00E-04,4
23,Half25C,5,0,2019/11/11,Half,25,Bacteria,-0.0025,4
24,Half25C,6,0,2019/11/11,Half,25,Bacteria,NA,4
25,Full22C,1,1,2019/11/12,Full,22,Bacteria,0.0145,1
26,Full22C,2,1,2019/11/12,Full,22,Bacteria,0.0165,1
27,Full22C,3,1,2019/11/12,Full,22,Bacteria,0.0245,1
28,Full22C,4,1,2019/11/12,Full,22,Bacteria,0.0185,1
29,Full22C,5,1,2019/11/12,Full,22,Bacteria,0.0255,1
30,Full22C,6,1,2019/11/12,Full,22,Bacteria,NA,1
31,Full25C,1,1,2019/11/12,Full,25,Bacteria,0.0265,2
32,Full25C,2,1,2019/11/12,Full,25,Bacteria,-0.0015,2
33,Full25C,3,1,2019/11/12,Full,25,Bacteria,0.0215,2
34,Full25C,4,1,2019/11/12,Full,25,Bacteria,0.0225,2
35,Full25C,5,1,2019/11/12,Full,25,Bacteria,0.0265,2
36,Full25C,6,1,2019/11/12,Full,25,Bacteria,NA,2
37,Half22C,1,1,2019/11/12,Half,22,Bacteria,0.0125,3
38,Half22C,2,1,2019/11/12,Half,22,Bacteria,0.0175,3
39,Half22C,3,1,2019/11/12,Half,22,Bacteria,0.0215,3
40,Half22C,4,1,2019/11/12,Half,22,Bacteria,0.0145,3
41,Half22C,5,1,2019/11/12,Half,22,Bacteria,0.0185,3
42,Half22C,6,1,2019/11/12,Half,22,Bacteria,NA,3
43,Half25C,1,1,2019/11/12,Half,25,Bacteria,0.0175,4
44,Half25C,2,1,2019/11/12,Half,25,Bacteria,0.0145,4
45,Half25C,3,1,2019/11/12,Half,25,Bacteria,0.0175,4
46,Half25C,4,1,2019/11/12,Half,25,Bacteria,0.0175,4
47,Half25C,5,1,2019/11/12,Half,25,Bacteria,0.0185,4
48,Half25C,6,1,2019/11/12,Half,25,Bacteria,NA,4
49,Full22C,1,2,2019/11/13,Full,22,Bacteria,0.015,1
50,Full22C,2,2,2019/11/13,Full,22,Bacteria,0.014,1
51,Full22C,3,2,2019/11/13,Full,22,Bacteria,0.017,1
52,Full22C,4,2,2019/11/13,Full,22,Bacteria,0.019,1
53,Full22C,5,2,2019/11/13,Full,22,Bacteria,0.017,1
54,Full22C,6,2,2019/11/13,Full,22,Bacteria,NA,1
55,Full25C,1,2,2019/11/13,Full,25,Bacteria,0.018,2
56,Full25C,2,2,2019/11/13,Full,25,Bacteria,0.032,2
57,Full25C,3,2,2019/11/13,Full,25,Bacteria,0.013,2
58,Full25C,4,2,2019/11/13,Full,25,Bacteria,0.016,2
59,Full25C,5,2,2019/11/13,Full,25,Bacteria,0.013,2
60,Full25C,6,2,2019/11/13,Full,25,Bacteria,NA,2
61,Half22C,1,2,2019/11/13,Half,22,Bacteria,0.013,3
62,Half22C,2,2,2019/11/13,Half,22,Bacteria,0.015,3
63,Half22C,3,2,2019/11/13,Half,22,Bacteria,0.013,3
64,Half22C,4,2,2019/11/13,Half,22,Bacteria,0.012,3
65,Half22C,5,2,2019/11/13,Half,22,Bacteria,0.023,3
66,Half22C,6,2,2019/11/13,Half,22,Bacteria,NA,3
67,Half25C,1,2,2019/11/13,Half,25,Bacteria,0.007,4
68,Half25C,2,2,2019/11/13,Half,25,Bacteria,0.009,4
