Class,AreaABD,AspectRatio,AverageBlue,AverageGreen,AverageRed,BiovolumeCylinder,BiovolumeP.Spheroid,BiovolumeSphere,Circularity,CircularityHu,Compactness,ConvexPerimeter,Convexity,DiameterABD,DiameterESD,GeodesicAspectRatio,GeodesicLength,GeodesicThickness,Length,OriginalReferenceID,RatioBlue/Green,RatioRed/Blue,RatioRed/Green,SigmaIntensity,Symmetry,Timestamp,VolumeABD,Width
Tetrahymena,367.8275,0.318,112.8957,115.8626,116.1896,8549.9052,1783.6532,5306.7671,0.6009,0.5725,1.6641,105.0044,1,21.641,29.6762,0.3471,44.8724,15.5757,44.59,F7A33FDD-7247-43A6-92FF-1F20B54ABB42,0.9744,1.0292,1.0028,17.8626,0.8183,2019-11-11T09:34:59.132,5.31E+03,10.01
Tetrahymena,640.0369,0.4105,89.3906,95.2031,99.45,19975.6541,6084.8621,12180.6749,0.7166,0.7014,1.3955,121.5587,1,28.5468,34.7822,0.5432,44.1748,23.9949,48.23,C2306BF3-0F93-4824-B3AD-D8B2CFB0DADF,0.9389,1.1125,1.0446,23.5981,0.9166,2019-11-11T09:34:59.132,1.22E+04,15.47
Tetrahymena,530.5024,0.3569,96.3899,98.4549,100.509,14177.2205,3890.8196,9191.6794,0.6555,0.6294,1.5255,117.2453,1,25.9895,33.6194,0.4218,46.6384,19.6734,48.23,60292109-5E09-48DA-8679-4479CCD57E9F,0.979,1.0427,1.0209,18.2401,0.8805,2019-11-11T09:34:59.132,9.19E+03,13.65
Tetrahymena,396.8143,0.416,91.7713,95.7309,101.148,13208.4411,2986.7191,5946.2711,0.7475,0.7077,1.3379,101.0702,1,22.4775,28.21,0.6396,34.5127,22.0745,40.95,836DE3E8-80AE-4705-BD33-332B241626DF,0.9586,1.1022,1.0566,22.9295,0.8645,2019-11-11T09:34:59.132,5.95E+03,13.65
Tetrahymena,370.2315,0.4558,95.8255,95.5708,97.7028,14210.771,2730.8355,5358.8784,0.8002,0.7536,1.2496,93.204,1,21.7116,26.0362,1,26.2528,26.2528,37.31,BC6BDEE2-DF30-43EE-BE37-4FE9CD6ADD7E,1.0027,1.0196,1.0223,23.4954,0.8628,2019-11-11T09:34:59.132,5.36E+03,13.65
Tetrahymena,355.8398,0.3021,110.2282,114.4709,115.8544,8169.4968,1576.5056,5049.4668,0.5953,0.5503,1.6797,105.8796,1,21.2854,29.8278,0.3405,44.7625,15.2439,46.41,8B70C8F0-EC3F-4113-BBDA-D8FB31B47BBF,0.9629,1.051,1.0121,17.5013,0.8568,2019-11-11T09:34:59.244,5.05E+03,8.19
Tetrahymena,470.4853,0.4203,104.8617,108.1739,107.8577,14361.4048,3763.9164,7676.8476,0.7258,0.7111,1.3778,106.3899,1,24.4753,29.9794,0.5681,38.4078,21.8194,40.95,56A7306D-7F5B-44D2-BFD8-729223A96B56,0.9694,1.0286,0.9971,20.9882,0.8157,2019-11-11T09:34:59.244,7.68E+03,13.65
Tetrahymena,640.0369,0.4061,90.1875,94.8812,97.7531,21538.0557,6123.6943,12180.6749,0.7421,0.6949,1.3475,121.8827,1,28.5468,35.1362,0.6198,41.484,25.7109,50.05,457CB499-FD40-4B7C-BD51-AB9C466B9429,0.9505,1.0839,1.0303,25.2723,0.8033,2019-11-11T09:34:59.244,1.22E+04,17.29
Tetrahymena,942.5459,0.3396,97.8483,101.7862,104.7632,26407.9671,9912.9348,21767.953,0.6253,0.6001,1.5992,153.0766,1,34.6423,44.8934,0.3779,61.7474,23.3353,64.61,2476CDD7-12E0-45E7-A3FC-F2DFCBDD9CA3,0.9613,1.0707,1.0292,20.4299,0.7384,2019-11-11T09:34:59.244,2.18E+04,19.11
Tetrahymena,517.927,0.3765,96.0257,98.1985,100.3162,14974.1278,3910.7645,8866.7952,0.6967,0.6588,1.4353,114.1535,1,25.6797,32.5072,0.497,42.5767,21.1612,46.41,7C3C6365-B436-4536-B201-3E6B33E2E940,0.9779,1.0447,1.0216,17.7248,0.8161,2019-11-11T09:34:59.244,8.87E+03,13.65
Tetrahymena,310.8143,0.5359,88.1176,94.369,97.2086,11147.6211,2580.5985,4122.0699,0.8521,0.8308,1.1736,84.9237,1,19.8932,23.205,1,24.212,24.212,31.85,700054A5-131C-491C-8C64-654CD505DA23,0.9338,1.1032,1.0301,25.1175,0.861,2019-11-11T09:34:59.244,4.12E+03,13.65
Tetrahymena,375.0461,0.4683,99.6636,99.5794,102.0561,14648.0167,2903.924,5463.7488,0.7916,0.7631,1.2632,93.568,1,21.8523,25.8844,1,26.5194,26.5194,35.49,4C1F7DC4-4C0C-42A5-971C-9FF3AB8371EB,1.0008,1.024,1.0249,21.747,0.7751,2019-11-11T09:34:59.244,5.46E+03,11.83
Tetrahymena,353.4489,0.2949,109.0732,111.6634,113.3463,7986.7916,1550.1823,4998.6611,0.5863,0.5391,1.7055,105.6654,1,21.2138,29.9794,0.3303,45.3431,14.9757,44.59,9067B4A8-EEED-4C00-9F2F-BA35B06E36FB,0.9768,1.0392,1.0151,18.0668,0.7445,2019-11-11T09:34:59.354,5.00E+03,10.01
Tetrahymena,604.1174,0.3625,113.3235,117.2092,117.4477,17049.1183,5271.9233,11169.8095,0.6536,0.634,1.53,125.7578,1,27.7342,36.2484,0.4188,49.8348,20.8708,51.87,B8FBBA44-12DF-4E7C-A632-DE16F44230FD,0.9668,1.0364,1.002,20.1612,0.8111,2019-11-11T09:34:59.354,1.12E+04,15.47
Tetrahymena,596.4512,0.3803,88.2739,92.8713,96.604,18102.1671,5064.533,10957.8712,0.7072,0.6629,1.414,120.5373,1,27.5577,34.58,0.5203,43.9939,22.8889,50.05,C4E296D9-AA65-48AB-BA0C-D1B29B6E7CFE,0.9505,1.0944,1.0402,25.4573,0.8444,2019-11-11T09:34:59.354,1.10E+04,13.65
